GENUS	SPECIES	SUBSPECIES	REFERENCE	STATUS	AUTHORS	REMARKS	RISK_GRP	TYPE_STRAINS	RECORD_NO	RECORD_LNK
Abditibacterium	utsteinense		68:3379	sp. nov. (VL)	Tahon et al. 2018			"DSM 105287, LMG 29911, R-68213"	797965	
Abditibacterium			68:3379	gen. nov. (VL)	Tahon et al. 2018				520424	
Abiotrophia	adiacens		45:798*	"comb. nov. (VP), homotypic syn."	(Bouvet et al. 1989) Kawamura et al. 1995		2	"ATCC 49175, CIP 103243, DSM 9848, GaD, CCUG 27637 A, CCUG 27809, CIP 103.243, LMG 14496, NCTC 13000"	772466	776611
Abiotrophia	balaenopterae		49:503*	sp. nov. (VP)	Lawson et al. 1999			"CCUG 37380, M1975/96/1, DSM 15827, ATCC 700813, CIP 105938"	772467	776612
Abiotrophia	defectiva		45:798*	comb. nov. (VP)	(Bouvet et al. 1989) Kawamura et al. 1995		2	"ATCC 49176, CIP 103242, DSM 9849, SC10, CCUG 27639, CCUG 27804, CIP 103.242, GIFU 12707, LMG 14740"	772468	
Abiotrophia	elegans		49:1	sp. nov. (VL)	Roggenkamp et al. 1999		2	"B1333, DSM 11693, ATCC 700633, CCUG 38949, CIP 105513"	772469	776613
Abiotrophia			45:798*	gen. nov. (VP)	Kawamura et al. 1995				514986	
Abyssibacter	profundi		68:3424*	sp. nov. (VP)	Zhou et al. 2018			"KCTC 52933, MCCC 1K03450, OUC007"	797925	
Abyssibacter			68:3424*	gen. nov. (VP)	Zhou et al. 2018				520421	
Abyssicoccus	albus		66:4299	sp. nov. (VL)	Jiang et al. 2016			"YIM M12140, DSM 29158, CCTCC AB 2014213"	794216	
Abyssicoccus			66:4299	gen. nov. (VL)	Jiang et al. 2016				518960	
Abyssivirga	alkaniphila		66:1724*	sp. nov. (VP)	Schouw et al. 2016			"L81, DSM 29592, JCM 30920"	794021	
Abyssivirga			66:1724*	gen. nov. (VP)	Schouw et al. 2016				518931	
Acanthopleuribacter	pedis		58:2597*	sp. nov. (VP)	Fukunaga et al. 2008		1	"FYK2218, KCTC 12899, NBRC 101209, DSM 28897"	787601	
Acanthopleuribacter			58:2597*	gen. nov. (VP)	Fukunaga et al. 2008				517824	
Acaricomes	phytoseiuli		56:465*	sp. nov. (VP)	Pukall et al. 2006 emend. Nouioui et al. 2018		"1, n2"	"CCUG 49701, CSC, DSM 14247, JCM 14300"	772478	
Acaricomes			56:465*	gen. nov. (VP)	Pukall et al. 2006				514988	
Accumulibacter			22:454	gen. nov. (NVP)	Hesselmann et al. 1999				521754	
Acetanaerobacterium	elongatum		54:2257*	sp. nov. (VP)	Chen and Dong 2004		1	"AS 1.5012, JCM 12359, Z7, CGMCC 1.5012"	783232	
Acetanaerobacterium			54:2257*	gen. nov. (VP)	Chen and Dong 2004				517160	
Acetatifactor	muris		63:1	sp. nov. (VL)	Pfeiffer et al. 2013		1	"CT-m2, DSM 23669, ATCC BAA-2170"	790255	
Acetatifactor			63:1	gen. nov. (VL)	Pfeiffer et al. 2013	[DSMZ] belongs to the <i>Clostridium</i> cluster XIV			518267	
Acetitomaculum	ruminis		45:879	sp. nov. (VL)	Greening and Leedle 1995		1	"139B, ATCC 43876, DSM 5522, Strain 139B"	772479	
Acetitomaculum			45:879	gen. nov. (VL)	Greening and Leedle 1995				514989	
Acetivibrio	cellulolyticus		30:179*	sp. nov. (VP)	Patel et al. 1980		1	"ATCC 33288, CD2, DSM 1870, NRC 2248, LMG 8466"	772481	798414
Acetivibrio	cellulosolvens		34:419*	"sp. nov. (VP), heterotypic syn."	Khan et al. 1984	[DSMZ] synonymy: IJSB 36:316*	1	"BAS, NRC 2936, ATCC 35928"	783233	798414
Acetivibrio	ethanolgignens		31:333*	sp. nov. (VP)	Robinson and Ritchie 1981		"2, t"	"77-6, ATCC 33324, DSM 3005, LMG 7055"	772482	
Acetivibrio	multivorans		42:191	sp. nov. (VL)	Tanaka et al. 1992		1	"ATCC 49731, DSM 6139, PeC1"	772483	791457
Acetivibrio			30:179*	"gen. nov. (VP), heterotypic syn."	Patel et al. 1980 emend. Robinson and Ritchie 1981 emend. Khan et al. 1984 emend. Murray 1986				514990	520416
Acetoanaerobium	noterae		35:10*	sp. nov. (VP)	Sleat et al. 1985		1	"ATCC 35199, NOT-3"	783234	
Acetoanaerobium	pronyense		65:2574*	sp. nov. (VP)	Bes et al. 2015			"ST07-YE, DSM 27512, JCM 19400"	793068	
Acetoanaerobium	sticklandii		66:5506*	comb. nov. (VP)	(Stadtman and McClung 1957) Galperin et al. 2016		1	"HF, ATCC 12662, DSM 519, JCM 1433, BCRC 14485, CCRC 14485, CCUG 9281, NCIMB 10654, Stadtman HF"	794920	
Acetoanaerobium			35:10*	gen. nov. (VP)	Sleat et al. 1985				517161	
Acetobacter	aceti	aceti	30:225	"comb. nov. (AL), homotypic syn."	(Pasteur 1864) De Ley and Frateur 1974		1	"ATCC 15973, CCUG 18122, CIP 103111, DSMZ 3508, ICMP 8807, IFO 14818, JCM 7641, LMG 1261, LMG 1504, NBRC 14818, NCCB 23001, NCIB 8621, NCIMB 8621"	772485	772484
Acetobacter	aceti	liquefaciens	30:225	comb. nov. (AL)	(Asai 1935) De Ley and Frateur 1974		1	"DSM 5603, IAM 1834, ATCC 14835, CCUG 18124, CIP 103109, IF0 12388, IFO 12388, LMG 1381, LMG 1382, NBRC 12388, NCCB 76052, IFO (now NBRC) 12388"	772486	776542
Acetobacter	aceti	orleanensis	30:225	comb. nov. (AL)	(Henneberg 1906) De Ley and Frateur 1974		1	"ATCC 12876, DSM 4492, IMET 10752, NCIMB 8622, CCUG 18126, DSM 46223, IFO 13752, JCM 7639, LMG 1583, NBRC 13752, NCCB 31003"	772487	772509
Acetobacter	aceti	xylinum	30:225	orthographically incorrect name	(Brown 1886) De Ley and Frateur 1974		1	"ATCC 23767, BCRC 12952, CCM 3611, CCRC 12952, CCUG 37299, CIP 103107, DSM 6513, IFO 15237, JCM 7644, LMG 1515, NBRC 15237, NCIB 11664, NCIMB 11664, NCTC 41124"	783235	789888
Acetobacter	aceti	xylinus	35:539*	comb. nov. (VP)	(Brown 1886) De Ley and Frateur 1974 emend. Judicial Commission 1985	[DSMZ] nom. corrig.: <I>Acetobacter aceti</I> subsp. <I>xylinum</I> (sic)	1	"DSM 6513, NCIB 11664, NCIB 4112B, ATCC 23767, BCRC 12952, CCM 3611, CCRC 12952, CCUG 37299, CIP 103107, IFO 15237, JCM 7644, LMG 1515, NBRC 15237, NCIMB 11664, NCTC 41124"	772488	789888
Acetobacter	aceti		30:225	comb. nov. (AL)	(Pasteur 1864) Beijerinck 1898		1	"DSM 3508, IMET 10732, NCIB 8621, ATCC 15973, CCUG 18122, CIP 103111, DSMZ 3508, ICMP 8807, IFO 14818, JCM 7641, LMG 1261, LMG 1504, NBRC 14818, NCCB 23001, NCIMB 8621"	772484	
Acetobacter	cerevisiae		52:1551*	sp. nov. (VP)	Cleenwerck et al. 2002		1	"ATCC 23765, DSM 14362, LMG 1625, NCIB 8894, NCIMB 8894"	772492	
Acetobacter	cibinongensis		52:3	sp. nov. (VL)	Lisdiyanti et al. 2002		1	"4H-1, IFO 16605, JCM 11196, DSM 15549, CIP 107380, NBRC 16605"	772493	
Acetobacter	diazotrophicus		39:361*	sp. nov. (VP)	Gillis et al. 1989		1	"ATCC 49037, Döbereiner PAI 5, DSM 5601, LMG 7603, CCUG 37298, CIP 103539, Döbereiner PA1 5, NCCB 89154, PAl 5"	772494	776536
Acetobacter	estunensis		51:263	comb. nov. (VL)	(Carr 1958) Lisdiyanti et al. 2001		1	"ATCC 23753, DSM 4493, IFO 13751, LMG 1626, NCIMB 8935, JCM 21172, NBRC 13751"	772495	
Acetobacter	europaeus		42:656	sp. nov. (VL)	Sievers et al. 1992		1	"DES 11, DSM 6160, ATCC 51845, LMG 18890"	772496	789887
Acetobacter	fabarum		58:2180*	sp. nov. (VP)	Cleenwerck et al. 2008		1	"985, R-36330, DSM 19596, LMG 24244"	786649	
Acetobacter	farinalis		61:2563	sp. nov. (VL)	Tanasupawat et al. 2011	"[IJSEM] The culture collection accession number PCU 319 is also cited in the effective publication, but the authors did not provide evidence that the type strain is deposited in this collection."	1	"G360-1, BCC 44845, NBRC 107750, PCU 319"	789468	
Acetobacter	ghanensis		57:1647*	sp. nov. (VP)	Cleenwerck et al. 2007		1	"R-29337, 430A, LMG 23848, DSM 18895"	785827	
Acetobacter	hansenii		33:896	sp. nov. (VL)	Gosselé et al. 1983			"DSM 5602, NCIB 8746, CCUG 18123, CIP 103110, IFO 14820, JCM 7643, LMG 1527, NBRC 14820, NCIMB 8746, strain ATCC 35959"	772497	789891
Acetobacter	indonesiensis		51:263	sp. nov. (VL)	Lisdiyanti et al. 2001		1	"5H-1, IFO 16471, JCM 10948, NRIC 0313, LMG 19824, DSM 15552, NBRC 16471, strain 5H-1"	772498	
Acetobacter	intermedius		48:1083	sp. nov. (VL)	Boesch et al. 1998		1	"DSM 11804, TF2, CIP 105780, LMG 18909, strain TF2"	772499	789890
Acetobacter	lambici		64:1083*	sp. nov. (VP)	Spitaels et al. 2014		1	"LMG 27439, DSM 27328"	791710	
Acetobacter	liquefaciens		33:896	"comb. nov. (VL), homotypic syn."	(Asai 1935) Gosselé et al. 1983	"[LPSN] Acetobacter liquefaciens (Asai 1935) Gosselé et al. 1983 has priority [Rule 24b(2)]. // [LPSN] On the validation list n° 12, the type strain IFO (now NBRC) 12388 is erroneously cited as IFO (now NBRC) 2388 (sic)."	1	"ATCC 14835, DSM 5603, IAM 1834, IFO 12388, CCUG 18124, CIP 103109, IF0 12388, LMG 1381, LMG 1382, NBRC 12388, NCCB 76052, IFO (now NBRC) 12388"	772501	776542
Acetobacter	lovaniensis		51:263	comb. nov. (VL)	(Frateur 1950) Lisdiyanti et al. 2001		1	"ATCC 12875, DSM 4491, IFO 13753, IMET 10734, LMG 1579, NCIMB 8620, DSM 46218, LMG 1617, NBRC 13753"	772502	
Acetobacter	malorum		52:1551*	sp. nov. (VP)	Cleenwerck et al. 2002		1	"DSM 14337, LMG 1746"	772503	
Acetobacter	methanolicus		36:317*	sp. nov. (VP)	Uhlig et al. 1986		1	"DSM 5432, IMET 10945, MB 58, ATCC 43581, CCUG 37300, CIP 103167, JCM 6891, LMG 1668, NCCB 89007, NRIC 0498, strain MB 58, strain TK 0705, VKM B-2104"	772506	772593
Acetobacter	musti		66:957*	sp. nov. (VP)	Ferrer et al. 2016			"Bo7, DSM 23824, CECT 7722"	793848	
Acetobacter	nitrogenifigens		56:1899*	sp. nov. (VP)	Dutta and Gachhui 2006		1	"RG1, MTCC 6912, LMG 23498, DSM 23921"	785323	
Acetobacter	oboediens		48:935*	sp. nov. (VP)	Sokollek et al. 1998		1	"DSM 11826, LTH 2460, CIP 105763, LMG 18849"	772507	789894
Acetobacter	oeni		56:21*	sp. nov. (VP)	Silva et al. 2006		1	"B13, CECT 5830, LMG 21952, DSM 23926, DSM 17891"	783238	
Acetobacter	okinawensis		63:1	sp. nov. (VL)	Iino et al. 2013		1	"1-35, JCM 25146, LMG 26457, NRIC 0658"	790310	
Acetobacter	orientalis		52:3	sp. nov. (VL)	Lisdiyanti et al. 2002		1	"21F-2, IFO 16606, JCM 11195, DSM 15550, CIP 107379, NBRC 16606"	772508	
Acetobacter	orleanensis		51:263	comb. nov. (VL)	(Henneberg 1906) Lisdiyanti et al. 2001		1	"ATCC 12876, DSM 4492, IMET 10752, NCIMB 8622, CCUG 18126, DSM 46223, IFO 13752, JCM 7639, LMG 1583, NBRC 13752, NCCB 31003"	772509	
Acetobacter	oryzifermentans		69:1247	sp. nov. (VL)	Kim et al. 2019			"JCM 31096, KACC 19301, SLV-7"	800723	
Acetobacter	papayae		63:1	sp. nov. (VL)	Iino et al. 2013		1	"1-25, JCM 25143, LMG 26456, NRIC 0655"	790356	
