Abiotrophia adiacens,Granulicatella adiacens
Abiotrophia balaenopterae,Granulicatella balaenopterae
Abiotrophia elegans,Granulicatella elegans
Acetivibrio cellulolyticus,Hungateiclostridium cellulolyticum
Acetivibrio cellulosolvens,Hungateiclostridium cellulolyticum
Acetivibrio multivorans,Youngiibacter multivorans
Acetivibrio unavailable,Hungateiclostridium unavailable
Acetobacter aceti,Acetobacter aceti
Acetobacter aceti,Gluconacetobacter liquefaciens
Acetobacter aceti,Acetobacter orleanensis
Acetobacter aceti,Komagataeibacter xylinus
Acetobacter aceti,Komagataeibacter xylinus
Acetobacter diazotrophicus,Gluconacetobacter diazotrophicus
Acetobacter europaeus,Komagataeibacter europaeus
Acetobacter hansenii,Komagataeibacter hansenii
Acetobacter intermedius,Komagataeibacter intermedius
Acetobacter liquefaciens,Gluconacetobacter liquefaciens
Acetobacter methanolicus,Acidomonas methanolica
Acetobacter oboediens,Komagataeibacter oboediens
Acetobacter pasteurianus,Acetobacter pasteurianus
Acetobacter pasteurianus,Acetobacter estunensis
Acetobacter pasteurianus,Acetobacter lovaniensis
Acetobacter pasteurianus,Acetobacter pasteurianus
Acetobacter pasteurianus,Acetobacter pasteurianus
Acetobacter peroxydans,Acetobacter pasteurianus
Acetobacter persicus,Acetobacter persici
Acetobacter suratthanensis,Acetobacter suratthaniensis
Acetobacter xylinum,Komagataeibacter sucrofermentans
Acetobacter xylinum,Komagataeibacter xylinus
Acetobacter xylinum,Komagataeibacter xylinus
Acetobacter xylinus,Komagataeibacter sucrofermentans
Acetobacter xylinus,Komagataeibacter xylinus
Acetobacter xylinus,Komagataeibacter xylinus
Acetogenium kivui,Thermoanaerobacter kivui
Acetogenium unavailable,Thermoanaerobacter unavailable
Acetomicrobium faecale,Caldicoprobacter faecalis
Acetomicrobium faecalis,Caldicoprobacter faecalis
Acholeplasma entomophilum,Mesoplasma entomophilum
Acholeplasma florum,Mesoplasma florum
Acholeplasma seiffertii,Mesoplasma seiffertii
Achromobacter sediminum,Verticiella sediminum
Achromobacter spiritinus,Achromobacter marplatensis
Achromobacter xylosoxidans,Achromobacter denitrificans
Achromobacter xylosoxidans,Achromobacter xylosoxidans
Acidicaldus organivorus,Acidicaldus organivorans
Acidiphilium aminilyticum,Acidocella aminolytica
Acidiphilium aminolytica,Acidocella aminolytica
Acidovorax avenae,Acidovorax avenae
Acidovorax avenae,Acidovorax cattleyae
Acidovorax avenae,Acidovorax citrulli
Acinetobacter dijkshoorniae,Acinetobacter lactucae
Acinetobacter grimontii,Acinetobacter junii
Acinetobacter guangdongensis,Acinetobacter indicus
Acinetobacter pakistanensis,Acinetobacter bohemicus
Actinaurispora siamensis,Plantactinospora siamensis
Actinaurispora unavailable,Plantactinospora unavailable
Actinobacillus actinomycetemcomitans,Aggregatibacter actinomycetemcomitans
Actinobacillus equuli,Actinobacillus equuli
Actinobacillus muris,Muribacter muris
Actinobaculum massiliae,Actinobaculum massiliense
Actinobaculum schaalii,Actinotignum schaalii
Actinobaculum urinale,Actinotignum urinale
Actinobispora alaniniphila,Pseudonocardia alaniniphila
Actinobispora aurantiaca,Pseudonocardia aurantiaca
Actinobispora xinjiangensis,Pseudonocardia xinjiangensis
Actinobispora yunnanensis,Pseudonocardia yunnanensis
Actinobispora unavailable,Pseudonocardia unavailable
